0,1,2,3,4,5,6,7,8,9,10,11
109,"It led off with the sort of flashy late-Romantic showpiece that made his reputation with the Montreal Symphony , the Kodaly `` Peacock '' Variations on a Hungarian Folk Song .",no_relation,Montreal Symphony,Hungarian Folk Song,MISC,MISC,109-1,109-2," , the Kodaly `` Peacock '' Variations on a ",4,"[19, 22, 27, 28, 32]"
110,"Peter Harrington , a vice president of New England Mutual , said Met Life 's great financial strength would raise the ratings his company receives from insurance-rating agencies .",vice president,Peter Harrington,New England Mutual,PER,ORG,110-1,110-2," , a vice president of ",3,"[1, 5, 6, 9]"
111,"'' It 's hard now to believe that someone like Freeman really existed , '' said Mr. Ledes , 47 , who has been involved for many years with performance art and experimental theater groups in Paris and New York .",no_relation,Freeman,Mr. Ledes,PER,PER,111-1,111-2," really existed , '' said ",7,"[10, 9, 8, 12, 6, 2, 15, 17]"
112,"On Wednesday , Judge Thomas F. Hogan of Federal District Court in Washington said he would order the reporters jailed for up to 120 days if they did not agree to testify before the grand jury in the meantime .",no_relation,Federal District Court,Washington,MISC,LOC,112-1,112-2, in ,2,"[10, 11, 12]"
113,"Pakistan and India have been observing a cease-fire there for more than a month now , and the president seemed to suggest in a recent interview that Pakistan would set aside a demand for a plebiscite in Kashmir were India to show flexibility in return .",no_relation,Kashmir,India,LOC,LOC,113-1,113-2,,12,"[39, 38, 37, 35, 34, 31, 27, 24, 23, 21, 5, 0, 2]"
116,"It is fresh sushi made from fish flown in from Dubai and sold at a Japanese restaurant that is part of a growing number of luxury hotels , shops and restaurants that cater to Western businessmen and their wealthy Armenian partners .",no_relation,Dubai,Japanese,LOC,LOC,116-1,116-2, and sold at a ,11,"[10, 9, 7, 6, 5, 4, 3, 1, 12, 13, 16, 15]"
117,"'' I do n't know if we require them to reciprocate or not , '' mused Mr. Styron of the Clintons .",no_relation,Mr. Styron,Clintons,PER,ORG,117-1,117-2, of the ,2,"[17, 18, 20]"
118,Walter Dean Burnham of the University of Texas called the midterm elections -- which saw the balance of power shift from Democratic to Republican in both chambers of Congress -- no less than the transformation `` from one American republic to the next . '',called elections,Walter Dean Burnham,midterm,PER,MISC,118-1,118-2, of the University of Texas called the ,3,"[2, 8, 11, 10]"
119,"The men will be housed , prison officials said , '' within spitting distance '' of each other at the Florida State Prison in Starke .",no_relation,Florida State Prison,Starke,LOC,LOC,119-1,119-2, in ,2,"[22, 23, 24]"
120,The letter was forwarded from the White House to Mrs. Clinton 's Senate office .,office,Mrs. Clinton,Senate,PER,MISC,120-1,120-2, 's ,2,"[10, 13, 12]"
121,"Mr. Mirsky said he had a transcript of a conversation in Beijing between the paper 's editor , Peter Stothard , and Deputy Prime Minister Zhu Rongji in which the journalist apologized for having asked the Chinese leader about the dissident Wei Jingsheng .",no_relation,Zhu Rongji,Chinese,PER,NONE,121-1,121-2, in which the journalist apologized for having asked the ,5,"[26, 31, 32, 34, 37, 36]"
122,"Mr. Stinson was born in Waconia , Minn. , a suburb of Minneapolis .",suburb,Waconia,Minneapolis,LOC,LOC,122-1,122-2," , Minn. , a suburb of ",3,"[5, 10, 11, 12]"
123,"Also , Irma Rusk of Manhattan , $ 50 ; Lotte Hanf of West Cornwall , Conn. , $ 50 ; Caroline Janover of Ridgewood , N.J. , $ 25 ; Steven Hess of Manhattan , $ 100 in memory his stepfather , Harry Jacobson ; Lendt & Company in Manhattan , $ 20 ; Helen and Theodore Firstenberg of Fort Lee , N.J. , $ 25 ; Ruth Phelps and Dorothy Phelps of Forest Hills , Queens , $ 50 ; Charlotte Dennett of Riverside , Conn. , $ 25 ; Louise and Edward Russell Jr. of Southampton , L.I. , $ 50 ; Paul Dunn of Manhattan , $ 100 ; Vivian and Alfred Carlip of Vestal , N.Y. , $ 30 , and Alice and Glenn Foss of Manhattan , $ 100 .",no_relation,Riverside,Edward Russell Jr.,LOC,PER,123-1,123-2," , Conn. , $ 25 ; Louise and ",4,"[85, 84, 83, 92, 96]"
124,"In addition to his wife , Mr. Potter is survived by five children from two previous marriages , including four sons , Howard , of Weston , Conn. ; Edward , of Bedford , N.Y. ; Christian , of Litchfield , Conn. ; and Jack Rohe Howard-Potter of New York City ; and a daughter , Margaretta Patterson of New Milford , Conn.",no_relation,Litchfield,New York City,LOC,LOC,124-1,124-2," , Conn. ; and Jack Rohe Howard-Potter of ",5,"[39, 38, 36, 48, 49, 52]"
125,The headline on the National League baseball roundup yesterday referred incorrectly to the Milwaukee Brewers ' performance in a four-game series against the Pittsburgh Pirates .,no_relation,Milwaukee Brewers,Pittsburgh Pirates,PER,PER,125-1,125-2, ' performance in a four-game series against the ,5,"[14, 16, 17, 22, 23, 26]"
126,"Sabres 7 , Whalers 3 : Pierre Turgeon and Christian Ruuttu each scored twice for Buffalo and the team 's Soviet rookie , Aleksandr Mogilny , who missed the last six games while he received counseling for his fear of flying , had a goal and an assist .",no_relation,Sabres,Whalers,MISC,MISC,126-1,126-2," 7 , ",1,"[0, 3]"
127,"Mr. Lay , who resigned on Wednesday as Enron 's chairman and chief executive , and the Linda and Ken Lay Family Foundation also gave M. D. Anderson $ 240,250 since Dr. Mendelsohn became president .",no_relation,Ken Lay Family Foundation,M. D. Anderson,ORG,PER,127-1,127-2, also gave ,4,"[22, 17, 1, 24, 27]"
128,"Yet , like Matisse and Picasso , as well as Marsden Hartley , he never stopped pushing , even as he dropped out of sight in the New York art world .",no_relation,Matisse,Picasso,PER,PER,128-1,128-2, and ,1,"[3, 5]"
129,"Milosevic Amnesty Suggested Vuk Draskovic , left , a leading Serbian opposition politician , said the best way to get President Slobodan Milosevic out of power would be to get him to resign by promising immunity from arrest or extradition .",no_relation,Milosevic Amnesty Suggested Vuk Draskovic,Serbian,ORG,LOC,129-1,129-2," , left , a leading ",2,"[4, 12, 10]"
130,"He was also board chairman of Webb Institute , a college of naval architecture and engineering in Glen Cove , N.Y.",no_relation,Glen Cove,N.Y.,LOC,LOC,130-1,130-2," , ",2,"[18, 19, 20]"
131,"The first to settle with LIPA was Suffolk County , followed by Nassau County , the Town of Brookhaven , the Shoreham-Wading River School District , the North Shore Library District and the Wading River Fire District .",followed,Suffolk County,Town of Brookhaven,LOC,LOC,131-1,131-2," , followed by Nassau County , the ",6,"[8, 10, 11, 13, 16, 17, 18]"
132,"British and United States aviation officials will meet again late this week to try to resolve differences over landing rights at London 's Heathrow Airport , a United States Transportation Department spokesman said yesterday .",no_relation,London,United States Transportation Department,LOC,ORG,132-1,132-2," 's Heathrow Airport , a ",3,"[21, 24, 31, 30]"
133,"In addition to Montaldo 's , Mr. Doop , a native of Cherryvale , Kan. , owned and operated Doop 's in East Orange , N.J. , also a women 's specialty shop .",no_relation,East Orange,N.J.,LOC,LOC,133-1,133-2," , ",1,"[23, 25]"
134,"31 Fresh Air Fund 30 Obituaries 38 Clement Greenberg , a prominent American art critic .",no_relation,Fresh Air Fund,Obituaries,ORG,ORG,134-1,134-2, 30 ,1,"[3, 5]"
135,"Since then the Iraqis have permitted only a routine visit from the International Atomic Energy Agency for monitoring equipment under the 1968 Nuclear Nonproliferation Treaty , an issue not related to the inspections imposed on Iraq in 1991 after the Persian Gulf war .",permitted routine visit,Iraqis,International Atomic Energy Agency,NONE,ORG,135-1,135-2, have permitted only a routine visit from the ,4,"[3, 5, 9, 10, 15]"
136,"Under a memorandum of agreement that was signed last week by the United States and the Soviet Union in Moscow , elite athletes of each country would be subject to random drug testing by officials of the other country twice a year .",signed signed,United States,Soviet Union in Moscow,LOC,LOC,136-1,136-2, and the ,3,"[13, 17, 18, 19]"
137,"And he wrote a book with Jos Oliver on Nicholas Ray , an American director for whom Mr. Erice has great sympathy and admiration .",no_relation,Jos Oliver,Mr. Erice,PER,PER,137-1,137-2," on Nicholas Ray , an American director for whom ",5,"[7, 8, 10, 14, 19, 18]"
138,LEAD : An article in Business Day yesterday about the Chicago White Sox misidentified the Sara Lee Corporation 's founder .,no_relation,Business Day,Sara Lee Corporation,MISC,ORG,138-1,138-2, yesterday about the Chicago White Sox misidentified the ,5,"[6, 4, 3, 13, 19, 17]"
139,"LEAD : The Khartoum Government held secret peace talks in London this month with representatives of the rebel army fighting in the southern Sudan , officials said today .",held secret peace talks,Khartoum Government,London,LOC,LOC,139-1,139-2, held secret peace talks in ,4,"[4, 5, 8, 9, 10]"
140,"Ordinarily , Piffiab would be rescued by its chairman , Anne Armstrong of Texas , a close pal of the new President , but she wants to retire .",no_relation,Piffiab,Anne Armstrong,PER,PER,140-1,140-2," would be rescued by its chairman , ",4,"[2, 5, 6, 8, 11]"
141,"In 1993 , though , when passions were running high against Mayor Dinkins , the vote for Mr. Dinkins 's Republican opponent , Rudolph W. Giuliani , was 34 percent in the most Hasidic portion of the neighborhood -- suggesting an almost unanimous vote among the Hasidim for Mr. Giuliani .",no_relation,Mayor Dinkins,Republican,PER,ORG,141-1,141-2," , the vote for Mr. Dinkins 's ",8,"[12, 10, 9, 8, 27, 15, 16, 21, 20]"
142,"In a mall in Fayetteville , N.C. , sneaking cigarettes and drinking Orange Julius , she tearfully confessed .",no_relation,Fayetteville,N.C.,LOC,LOC,142-1,142-2," , ",1,"[4, 6]"
143,"He was taken to St. Barnabas Hospital in the Bronx , where he died at 9:45 p.m.",no_relation,St. Barnabas Hospital,Bronx,LOC,LOC,143-1,143-2, in the ,2,"[6, 7, 9]"
144,Administration officials said that analysts are continuing to study Mr. Bloch 's years as deputy chief of mission in Austria .,no_relation,Mr. Bloch,Austria,PER,LOC,144-1,144-2, 's years as deputy chief of mission in ,5,"[10, 12, 13, 15, 18, 19]"
145,"In February and March , several meetings of strikers , in Managua and elsewhere , were broken up by Sandinistas .",no_relation,Managua,Sandinistas,LOC,ORG,145-1,145-2," and elsewhere , were broken up by ",5,"[11, 10, 6, 16, 18, 19]"
146,"The pilot plant at Islay , an island on the west coast of Scotland , is expected to produce a modest average of 40 kilowatts a day , enough for the nearby little village , which now uses diesel fuel .",no_relation,Islay,Scotland,LOC,LOC,146-1,146-2," , an island on the west coast of ",5,"[4, 7, 8, 11, 12, 13]"
147,"LEAD : The marriage of Danguole J. Spakevicius , a daughter of Mr. and Mrs. Julius Spakevicius of Westwood , Mass. , and William Carl Altman , a son of Mr. and Mrs. Lester Altman of New Ulm , Tex. , took place yesterday at St. Paul Roman Catholic Church in Cambridge , Mass.",no_relation,Westwood,William Carl Altman,LOC,PER,147-1,147-2," , Mass. , and ",6,"[18, 17, 16, 11, 10, 7, 25]"
148,"Mr. Deutscher is survived by his wife and law partner , Ann ; his stepsons Charles and Robert Truxal ; his mother Evelyn Halbreich of Aventura , Florida ; his son John Deutscher ; his daughter Stacey Purdue ; and his sister Lois Rubin of Olney , Maryland .",no_relation,Ann,Robert Truxal,PER,PER,148-1,148-2, ; his stepsons Charles and ,4,"[11, 6, 14, 15, 18]"
149,"Mr. Silver joined Weitz & Luxenberg as a part-time member '' of counsel '' last October , after his previous firm , Schneider , Kleinick , Weitz , Damashek & Shoot , broke up .",no_relation,Schneider,Damashek & Shoot,PER,ORG,149-1,149-2," , Kleinick , Weitz , ",4,"[24, 26, 28, 30, 32]"
150,"He married Beatrice Levinson , who survives , along with two sons , David , of Tel Aviv , and Jonathan , of Jerusalem , and a daughter , Ruth Yehoshua , also of Tel Aviv .",sons,David,Tel Aviv,PER,LOC,150-1,150-2," , of ",2,"[13, 15, 17]"
151,"Setting aside Monica 's own disregard for Clinton 's family , the threat from an overzealous prosecutor predates the Internet age -LRB- see : Hugo , Victor , Novelist -RRB- .",no_relation,Internet,Victor,LOC,ORG,151-1,151-2," age -LRB- see : Hugo , ",5,"[19, 20, 17, 22, 24, 26]"
152,"' It 's magic down there , '' said Mr. Marmo , pausing the other afternoon beside a whirring projector in a darkened warren of booths arranged like gun turrets above the 14 auditoriums at the Loews Theater multiplex beside the Willowbrook Mall in Wayne .",no_relation,Loews Theater,Wayne,LOC,LOC,152-1,152-2, multiplex beside the Willowbrook Mall in ,5,"[37, 38, 39, 42, 43, 44]"
153,"`` Mean Harp , '' by Carolyn Yarnell , offered grim counterpoint to Ms. Weir 's fancies .",no_relation,Carolyn Yarnell,Ms. Weir,PER,PER,153-1,153-2," , offered grim counterpoint to ",6,"[8, 6, 3, 10, 13, 17, 15]"
154,"Services Wednesday , September 15 , 12:30 PM , at '' The Riverside , '' 76th Street and Amsterdam Avenue .",no_relation,Riverside,Amsterdam,ORG,ORG,154-1,154-2," , '' 76th Street and ",5,"[12, 9, 0, 16, 19, 18]"
155,"Mr. Walker and other members of the coalition met today with Donald L. Evans , the commerce secretary , and Lawrence B. Lindsey , the White House economic adviser , before their lunch with Mr. Bush .",no_relation,Donald L. Evans,Lawrence B. Lindsey,PER,PER,155-1,155-2," , the commerce secretary , and ",2,"[13, 17, 22]"
156,"Mitch Henderson of the Tigers missed a shot from inside , but Doyal then made a steal that led to Johnson 's score and a 41-41 tie .",no_relation,Tigers,Doyal,LOC,PER,156-1,156-2," missed a shot from inside , but ",5,"[4, 2, 1, 5, 14, 12]"
157,"On the coasts , the victors Chuck Schumer and Gray Davis successfully impaled Al D'Amato and Dan Lungren on their efforts to reverse Roe v. Wade .",no_relation,Gray Davis,Al D'Amato,PER,PER,157-1,157-2, successfully impaled ,4,"[10, 7, 5, 12, 14]"
158,"Bruce Braine , vice president for strategic policy analysis at A.E.P. and a CCX board member , told me that '' the question of establishing baselines is always difficult .",no_relation,A.E.P.,CCX,ORG,MISC,158-1,158-2, and a ,5,"[10, 9, 4, 15, 14, 13]"
159,"With the rise to power in Israel in 1977 of the conservative Likud party , which has held that the land taken from Jordan was historically part of Israel , settlement activity has risen significantly .",no_relation,Jordan,Israel,LOC,LOC,159-1,159-2,,12,"[23, 22, 21, 20, 24, 17, 13, 9, 8, 7, 2, 5, 6]"
160,The N.C.A.A. said it seriously considered shutting down the Kansas basketball program for an entire year .,no_relation,N.C.A.A.,Kansas,ORG,LOC,160-1,160-2, said it seriously considered shutting down the ,5,"[1, 2, 5, 6, 11, 9]"
161,F.T.C. Clears Acquisition Of Compaq by Hewlett The Federal Trade Commission unanimously approved Hewlett-Packard 's deal to acquire Compaq Computer .,no_relation,Federal Trade Commission,Hewlett-Packard,ORG,ORG,161-1,161-2, unanimously approved ,3,"[10, 12, 17, 15]"
162,"On March 28 , associates of the Prime Minister said , the party will gather to chose a successor , with the most likely candidates being P. J. Patterson , a former Deputy Prime Minister , and Portia Simpson , Minister of Labor , Welfare and Sports .",no_relation,Portia Simpson,Labor,PER,MISC,162-1,162-2," , Minister of ",3,"[38, 40, 41, 42]"
163,Son of the late Saul and Sharlye Herzfeld .,no_relation,Saul,Sharlye Herzfeld,MISC,PER,163-1,163-2, and ,1,"[4, 7]"
164,"But until a magic number is down to a single digit , there 's no magic in it , meaning the number of Yankee victories and Oriole or Red Sox losses that would assure the Yanks first place in the American League East .",no_relation,Red Sox,Yanks,PER,PER,164-1,164-2, losses that would assure the ,5,"[29, 26, 30, 33, 37, 35]"
165,"A major factor in pushing the Whitewater story has been Jim Leach , the Iowa Republican Congressman .",no_relation,Iowa,Republican,LOC,MISC,165-1,165-2, ,2,"[14, 16, 15]"
166,"Paula Marcus , M.D. New Rochelle , N.Y.",no_relation,M.D. New Rochelle,N.Y.,LOC,LOC,166-1,166-2," , ",2,"[5, 6, 7]"
167,"'' Our factory is doing O.K. now , but things will get worse as the weather heats up , '' said Chen Pintang , general manager of the Shixing Electronic Components Factory in Hangzhou , capital of Zhejiang in eastern China .",no_relation,Shixing Electronic Components Factory,Zhejiang,ORG,LOC,167-1,167-2," in Hangzhou , capital of ",6,"[31, 26, 25, 22, 35, 36, 37]"
168,"Ed Merrin was not among the swashbucklers , but according to Ian Graham , an archeologist and Mayan expert at Harvard 's Peabody Museum , '' he 's certainly handled masterpieces that should never have been removed from their original sites . ''",no_relation,Ed Merrin,Ian Graham,PER,PER,168-1,168-2," was not among the swashbucklers , but according to ",5,"[1, 2, 29, 9, 10, 12]"
169,"Kathy Gail Kirkpatrick , a daughter of Oran G. Kirkpatrick Jr. of Rye , N.Y. , and the late Patricia G. Kirkpatrick , was married yesterday to Dr. Daniel James Lysaght MacGowan , the son of Helen and Brian F. MacGowan of Stillorgan , Ireland .",no_relation,Helen,Ireland,PER,LOC,169-1,169-2," and Brian F. MacGowan of Stillorgan , ",3,"[36, 41, 42, 44]"
170,"HFS INC. , Parsippany , N.J. , named Ramesh Gokal , currently president of Hospitality Concepts Inc. , Charlotte , N.C. , to the positions of president and chief operating officer of the hotel franchiser 's newly acquired Knights Inn hotel chain .",no_relation,N.J.,Ramesh Gokal,LOC,PER,170-1,170-2," , named ",4,"[6, 4, 2, 8, 10]"
171,"Following are closing arguments , excerpted by topic , by two Deputy District Attorneys , Marcia Clark and Christopher A. Darden , given yesterday in Los Angeles in the trial of O. J. Simpson in the slayings of Nicole Brown Simpson and Ronald L. Goldman , as transcribed by The New York Times : MARCIA CLARK The Mark Fuhrman Issue",no_relation,O. J. Simpson,Ronald L. Goldman,PER,PER,171-1,171-2, in the slayings of Nicole Brown Simpson and ,7,"[33, 30, 29, 34, 36, 37, 40, 44]"
172,"' They did n't do anything to keep it up and pretty much ignored that system , which probably hurt them in the long run , '' said an official at Mapsco , based in Dallas .",no_relation,Mapsco,Dallas,ORG,LOC,172-1,172-2," , based in ",5,"[31, 30, 29, 33, 34, 35]"
173,"So do n't be surprised if the veterans are upstaged by the Gossip , a barebones blues-punk band led by Beth Ditto , possessed of an appealing shivery wail .",no_relation,Gossip,Beth Ditto,MISC,PER,173-1,173-2," , a barebones blues-punk band led by ",4,"[12, 19, 20, 21, 23]"
174,"Adored daughter of Vera G. and the late Albert List of Greenwich , CT .",no_relation,Albert List,"Greenwich , CT",PER,LOC,174-1,174-2, of ,3,"[9, 10, 11, 13]"
175,"Oddworld had scrapped plans to make its next game for Sony 's PlayStation2 in favor of the Xbox , tying its future to Microsoft 's success in video games .",no_relation,Xbox,Microsoft,MISC,ORG,175-1,175-2," , tying its future to ",10,"[17, 15, 14, 13, 5, 3, 2, 19, 22, 25, 23]"
176,"The bridegroom is an associate in the San Francisco law firm of Fleisher , Dubb , Meyer & Lovejoy .",law firm,San Francisco,Fleisher,LOC,PER,176-1,176-2, law firm of ,3,"[8, 10, 11, 12]"
177,Pak became the first rookie to win a major title since Liselotte Neumann won the United States Women 's Open in 1988 .,won,Liselotte Neumann,United States Women 's Open,PER,MISC,177-1,177-2, won the ,2,"[12, 13, 19]"
178,"Avenue X Concept , book and lyrics by John Jiler ; music and lyrics by Ray Leslee ; directed by Mark Brokaw ; vocal arrangements and musical direction by Chapman Roberts ; set by Loy Arcenas ; costumes by Ellen McCartney ; lighting by Donald Holder ; sound by Janet Kalas ; fight director , Rick Sordelet ; choreographer , Ken Roberson ; production stage manager , Lisa Buxbaum .",no_relation,Ray Leslee,Mark Brokaw,PER,PER,178-1,178-2, ; directed by ,8,"[16, 14, 11, 9, 7, 2, 18, 19, 21]"
179,"As a longtime member of the board of governors who was a director of the Kansas City , Mo. , Fed before that , Mr. Angell still has intimate , current knowledge of the thinking not only of the board and the bank presidents on the open market committee , but also of many of the directors of regional banks .",no_relation,"Kansas City , Mo.",Fed,LOC,ORG,179-1,179-2," , ",2,"[18, 16, 20]"
180,"The Hudsons '' really have the sensitivity and understanding of the African-American market that you do n't often find at the major mainstream publishers , '' said Bernette Ford , vice president and editorial director for Cartwheel Books , an imprint of Scholastic Inc. , the dominant children 's book publisher for the trade and educational markets .",imprint,Cartwheel Books,Scholastic Inc.,ORG,ORG,180-1,180-2," , an imprint of ",3,"[39, 42, 43, 45]"
181,"Israel will have to live with the Palestinians , after the war .",no_relation,Israel,Palestinians,LOC,LOC,181-1,181-2, will have to live with the ,4,"[0, 2, 4, 5, 7]"
182,"Ashcroft , Mo. ; Brown , Colo. ; Coats , Ind. ; Coverdell , Ga. ; Craig , Idaho ; D'Amato , N.Y. ; Domenici , N.M. ; Faircloth , N.C. ; Frist , Tenn. ; Gramm , Texas ; Grams , Minn. ; Grassley , Iowa ; Gregg , N.H. ; Hatfield , Ore. ; Helms , N.C. ; Hutchison , Texas ; Inhofe , Okla. ; Kyl , Ariz. ; Lott , Miss. ; Nickles , Okla. ; Pressler , S.D. ; Santorum , Pa. ; Shelby , Ala. ; Smith , N.H. ; Snowe , Maine ; Thomas , Wyo. ; Thompson , Tenn. ; Thurmond , S.C. ; Warner , Va.",no_relation,D'Amato,Domenici,PER,PER,182-1,182-2," , N.Y. ; ",2,"[20, 16, 24]"
183,"A last-ditch effort to bring 260,000 furloughed Federal employees back to work just after New Year 's Day failed today when Republicans and Democrats in the Senate rejected back-and-forth proposals from each other .",no_relation,Democrats,Senate,ORG,MISC,183-1,183-2, in the ,3,"[25, 23, 26, 28]"
184,"English is the country 's official second language , after Bangla , a combination of Bengali and Urdu .",no_relation,Bangla,Bengali,LOC,LOC,184-1,184-2," , a combination of ",3,"[10, 13, 14, 15]"
186,"' The traditional steakhouse chain , such as Morton 's of Chicago and Ruth 's Chris , gives off a kind of macho feeling , '' said Milford Prewitt , a staff writer at Nation's Restaurant News , a weekly trade publication .",staff writer,Milford Prewitt,Nation's Restaurant News,PER,LOC,186-1,186-2," , a staff writer at ",3,"[28, 32, 33, 37]"
187,"And indeed , the Greek for John is Ioannes , which comes from the Hebrew Yokanan , from Yekohanan , meaning '' God is gracious . ''",comes,Ioannes,Hebrew Yokanan,PER,LOC,187-1,187-2," , which comes from the ",3,"[8, 11, 12, 15]"
188,"New York State passed regulations on work hours , but studies by Mark Green , New York City 's Public Advocate , and others have shown that many hospitals do not comply with them .",no_relation,New York State,Mark Green,LOC,PER,188-1,188-2," passed regulations on work hours , but studies by ",4,"[2, 3, 10, 11, 13]"
189,"Mr. Reagan 's veto , Mr. Michel said , '' changes the complexity of the situation . ''",veto,Mr. Reagan,Mr. Michel,PER,PER,189-1,189-2," 's veto , ",4,"[1, 3, 10, 7, 6]"
190,"Early on , I confidently assigned readings from Sir Richard Burton , who explored the source of the Nile .",explored source,Richard Burton,Nile,PER,LOC,190-1,190-2," , who explored the source of the ",4,"[10, 13, 15, 16, 18]"
191,"Most generally , he does not consider that the invasions of Czechoslovakia and Hungary  were Soviet totalitarianism expressing its nature , whereas the slaughter in Kwangju represented neither American values nor American goals .",no_relation,Czechoslovakia and Hungary,Soviet,MISC,LOC,191-1,191-2,  were ,6,"[13, 11, 10, 9, 15, 17, 16]"
192,"The rest of the teams will begin play July 26 , with Sweden-Paraguay in Barcelona , Morocco-South Korea in Valencia , Ghana facing Australia or the Netherlands in Sabadell and Denmark playing Mexico or Honduras in Zaragoza .",no_relation,Sabadell,Denmark,LOC,LOC,192-1,192-2, and ,1,"[32, 34]"
193,"Henry Spira was born June 19 , 1927 , in Antwerp , Belgium , the son of Maurice and Margit Spitzer Spira .",no_relation,Belgium,Margit Spitzer Spira,LOC,PER,193-1,193-2," , the son of Maurice and ",4,"[12, 15, 16, 17, 21]"
194,"' I have a client with a building in Kearney who asked me what he should do , '' said Donald Eisen , manager of New Jersey operations for Cushman & Wakefield , the real estate services company .",no_relation,New Jersey,Cushman & Wakefield,LOC,ORG,194-1,194-2, operations for ,4,"[26, 27, 28, 29, 31]"
195,"A1 Israel rejected a Soviet offer to open quasi-embassies in Tel Aviv and Moscow , U.S. officials said .",no_relation,Israel,Tel Aviv and Moscow,LOC,ORG,195-1,195-2, rejected a Soviet offer to open quasi-embassies in ,7,"[1, 2, 5, 7, 10, 11, 13, 15]"
196,"Corruption was so endemic in the Teamsters that the United States attorney in Manhattan filed a civil racketeering suit in 1988 , accusing the union of having made a '' devil 's pact '' with the mob .",no_relation,United States,Manhattan,LOC,PER,196-1,196-2, attorney in ,3,"[10, 11, 12, 13]"
197,"' They really pulled it off , '' said William Epifanio 2d , an analyst with J. P. Morgan , who had been among those who lowered their numbers .",no_relation,William Epifanio,J. P. Morgan,PER,ORG,197-1,197-2," 2d , an analyst with ",4,"[10, 11, 14, 15, 18]"
198,Mother of Watson N. Driggs of Wyckoff .,no_relation,Watson N. Driggs,Wyckoff,PER,LOC,198-1,198-2, of ,2,"[4, 5, 6]"
199,"In Baghdad , five American soldiers were killed in an attack on their convoy .",no_relation,Baghdad,American,LOC,LOC,199-1,199-2," , five ",4,"[1, 0, 7, 5, 4]"
200,"In his annual state of the N.F.L. address last month , Commissioner Paul Tagliabue was asked about the XFL , and Tagliabue dismissed the question , saying the N.F.L. has little concern about the upstart league .",no_relation,XFL,N.F.L.,MISC,ORG,200-1,200-2,,7,"[18, 16, 15, 0, 3, 4, 7, 6]"
201,"The plastic sword was a promotional item from '' The Lord of the Rings '' movie and a Valentine 's Day gift from Ms. Harzewski -- he gave her Gandalf 's sword , and no , they did n't discuss the gifts beforehand .",gift,Valentine 's Day,Ms. Harzewski,MISC,PER,201-1,201-2, gift from ,3,"[20, 21, 22, 24]"
202,"The 145-acre Kirby Hill estate in Muttontown and the 155-acre Gordon Phipps estate in Old Westbury are both slated for subdivision , Mr. Zuckerberg said .",no_relation,Old Westbury,Mr. Zuckerberg,LOC,PER,202-1,202-2," are both slated for subdivision , ",6,"[15, 13, 12, 4, 18, 24, 23]"
203,Espionage charges are leveled even more often by the Cuban government against American diplomats assigned to the United States interests section in Havana .,no_relation,Cuban,United States,LOC,LOC,203-1,203-2, government against American diplomats assigned to the ,9,"[9, 10, 7, 3, 11, 13, 14, 15, 20, 18]"
204,"Wayne Gretzky , who had two assists and now has 97 points , said the Rangers also were n't bothered by tough talk from the Flyers , who vowed to check Gretzky and Brian Leetch .",no_relation,Flyers,Brian Leetch,MISC,PER,204-1,204-2," , who vowed to check Gretzky and ",4,"[25, 28, 30, 31, 34]"
205,"MILLER , Joan MILLER , Kyle MILLER , Robert MURTA , Angela NIBERT , Cheryl NOTES , Gadi O'HARA , Caitlin O'HARA , Janet O'HARA , John OLSEN , Rebecca OMICCIOLI , Monica , Fano , Italy ORMAN , Alan PAQUET , Huguette PAQUET , Ingrid PARES , Serge PENZER , Judy PERCY , Marion PRICE , Dennis , Englewood , Colo.",no_relation,Marion,Englewood,LOC,LOC,205-1,205-2," PRICE , Dennis , ",3,"[54, 55, 57, 59]"
206,"Also in accordance with Muslim custom , she wore silver nail polish on her left hand , but left unadorned her right hand , the one she eats with , which must remain clean .",no_relation,Muslim,polish,MISC,LOC,206-1,206-2," custom , she wore silver nail ",6,"[4, 5, 3, 2, 1, 8, 11]"
207,"Hopper 's '' Captain Upton 's House , '' from 1927 , painted at Cape Elizabeth , Me. , depicts a sprawling lighthouse -LRB- up to $ 1.8 million -RRB- ; his '' Hotel Window '' from 1956 shows a woman seated alone looking out a large window at night -LRB- up to $ 1.5 million -RRB- .",no_relation,Cape Elizabeth,Me.,LOC,LOC,207-1,207-2," , ",1,"[15, 18]"
208,"This hefty , superslick Dutch quarterly 's recent theme issue monumentalizes Yves Saint Laurent .",no_relation,Dutch,Yves Saint Laurent,LOC,PER,208-1,208-2, quarterly 's recent theme issue monumentalizes ,6,"[4, 5, 9, 3, 1, 10, 13]"
209,"ON THE AIR -- Over folksy music , an older woman praises Mr. Schundler and scolds Bob Franks , his opponent in the Republican primary .",no_relation,Mr. Schundler,Republican,PER,LOC,209-1,209-2," and scolds Bob Franks , his opponent in the ",7,"[13, 11, 15, 17, 20, 21, 24, 23]"
210,"The Lebanese-born 9\/11 terrorist Ziad Jarrah did part of the planning in Duisburg , and had a romantic involvement with a seemingly well-assimilated Turkish-German woman who studied dentistry nearby in Bochum .",no_relation,Ziad Jarrah,Duisburg,PER,LOC,210-1,210-2, did part of the planning in ,6,"[7, 8, 9, 10, 12, 13, 14]"
